ID,SMILES,MolecularWeight,LogP,NumHBD,NumHBA,PSA,NumRotatableBonds,QED,NumChiralCenters
JP002385,CC1CCCC/C1=N\C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,245.4,4.46,0.0,1.0,12.4,1.0,0.65,1.0
JP002384,C=CC(=C)CC(COCc1ccccc1)O[Si](C)(C)C,290.5,4.56,0.0,2.0,18.5,9.0,0.49,1.0
JP002383,C[Si](C)(C)CC1=CCOC(COCc2ccccc2)C1,290.5,4.26,0.0,2.0,18.5,6.0,0.58,1.0
JP002382,CC1CC(/N=C2\CCCCC2C)CC(C)(C)C1,235.4,4.85,0.0,1.0,12.4,1.0,0.62,3.0
JP002381,C=CC(=C)CC(O[Si](C)(C)C)c1ccccc1,246.4,4.71,0.0,1.0,9.2,6.0,0.52,1.0
JP002380,COC(=O)[C@H]1CN(Cc2ccccc2)C[C@H]1C(=O)OC,277.3,1.08,0.0,5.0,55.8,4.0,0.77,2.0
JP002379,COC(=O)[C@H]1CN(Cc2ccccc2)C[C@@H]1C(=O)OC,277.3,1.08,0.0,5.0,55.8,4.0,0.77,2.0
JP002378,CCOC(=O)C1CCN(Cc2ccccc2)C1,233.3,2.07,0.0,3.0,29.5,4.0,0.75,1.0
JP002377,C=CC(=C)CC(O)COCc1ccccc1,218.3,2.7,1.0,2.0,29.5,7.0,0.71,1.0
JP002376,C=C1CCOC(COCc2ccccc2)C1,218.3,2.94,0.0,2.0,18.5,4.0,0.72,1.0
JP002375,CC1(Cc2ccccc2)CCCCC1=O,202.3,3.38,0.0,1.0,17.1,2.0,0.72,1.0
JP002374,C[C@@H]1CCC[C@@H](Cc2ccccc2)C1=O,202.3,3.23,0.0,1.0,17.1,2.0,0.72,2.0
JP002371,C=CC(=C)CC(O)c1ccccc1,174.2,2.85,1.0,1.0,20.2,4.0,0.7,1.0
JP002370,C=CC(=C)CC(O)C(C)CCC,168.3,2.92,1.0,1.0,20.2,6.0,0.6,2.0
JP002368,CC(C)=C(O[Si](C)(C)C)C(C)C,186.4,3.79,0.0,1.0,9.2,3.0,0.48,0.0
JP002367,C=CCC(=C)C(O)CC(C)C,154.3,2.53,1.0,1.0,20.2,5.0,0.6,1.0
